timestamp,datetime,symbol,timeframe,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,obv
1718337600000,2024-06-14 04:00:00,ETH/USDT,4h,3490.91000000,3532.61000000,3490.46000000,3516.61000000,40530.30170000,3514.28500000,3645.10640000,3548.25170000,3507.48975414,3551.32241718,45.20426913,-43.83266304,-48.56133612,4.72867308,3598.25867671,3514.28500000,3430.31132329,56.61574090,-728313.76990000
1718352000000,2024-06-14 08:00:00,ETH/USDT,4h,3516.61000000,3530.25000000,3505.69000000,3515.80000000,28624.75150000,3510.29500000,3638.18860000,3551.22505000,3508.76825350,3548.69112702,45.11164007,-39.92287351,-46.83364360,6.91077009,3585.56737993,3510.29500000,3435.02262007,54.32604513,-756938.52140000
1718366400000,2024-06-14 12:00:00,ETH/USDT,4h,3515.80000000,3525.56000000,3460.17000000,3462.41000000,46240.80770000,3506.68550000,3630.39480000,3553.99810000,3501.63621450,3542.29993242,39.38317684,-40.66371792,-45.59965846,4.93594054,3583.84938572,3506.68550000,3429.52161428,55.11632762,-803179.32910000
1718380800000,2024-06-14 16:00:00,ETH/USDT,4h,3462.41000000,3467.40000000,3362.26000000,3406.21000000,103511.08560000,3500.51800000,3621.52880000,3556.38915000,3486.95525843,3532.21919669,34.42736933,-45.26393826,-45.53251442,0.26857616,3588.36178011,3500.51800000,3412.67421989,58.68944707,-906690.41470000
1718395200000,2024-06-14 20:00:00,ETH/USDT,4h,3406.21000000,3528.93000000,3404.19000000,3481.80000000,69411.92360000,3502.22050000,3614.26460000,3559.10815000,3486.16214174,3528.48444138,44.53669411,-42.32229963,-44.89047147,2.56817183,3587.17999634,3502.22050000,3417.26100366,63.40734371,-837278.49110000
1718409600000,2024-06-15 00:00:00,ETH/USDT,4h,3481.80000000,3505.01000000,3473.10000000,3504.40000000,27164.37590000,3502.58000000,3608.53240000,3561.98220000,3488.96796609,3526.70040868,47.15966736,-37.73244259,-43.45886569,5.72642310,3587.51249131,3502.58000000,3417.64750869,61.15753345,-810114.11520000
1718424000000,2024-06-15 04:00:00,ETH/USDT,4h,3504.40000000,3557.81000000,3498.29000000,3529.61000000,70337.74230000,3504.19400000,3602.85540000,3564.98380000,3495.22058669,3526.91593397,50.00023518,-31.69534727,-41.10616201,9.41081473,3589.88950616,3504.19400000,3418.49849384,61.04056677,-739776.37290000
1718438400000,2024-06-15 08:00:00,ETH/USDT,4h,3529.61000000,3542.30000000,3519.49000000,3539.40000000,29865.13650000,3505.66450000,3597.51740000,3568.23120000,3502.01741951,3527.84067960,51.09961169,-25.82326009,-38.04958162,12.22632153,3592.70612257,3505.66450000,3418.62287743,58.30981200,-709911.23640000
1718452800000,2024-06-15 12:00:00,ETH/USDT,4h,3539.40000000,3594.39000000,3537.75000000,3565.80000000,65751.33900000,3507.61900000,3592.50720000,3571.29025000,3511.83012420,3530.65248111,54.03465769,-18.82235691,-34.20413668,15.38177977,3598.14875663,3507.61900000,3417.08924337,58.19053972,-644159.89740000
1718467200000,2024-06-15 16:00:00,ETH/USDT,4h,3565.80000000,3575.73000000,3552.00000000,3558.48000000,32626.87920000,3508.95700000,3586.97680000,3574.25480000,3519.00702817,3532.71377880,53.08328166,-13.70675063,-30.10465947,16.39790884,3601.63748599,3508.95700000,3416.27651401,55.72907259,-676786.77660000
1718481600000,2024-06-15 20:00:00,ETH/USDT,4h,3558.48000000,3575.36000000,3536.76000000,3568.74000000,20904.11650000,3506.47800000,3582.33700000,3577.29240000,3526.65825460,3535.38238778,54.29789206,-8.72413318,-25.82855421,17.10442104,3589.47100563,3506.47800000,3423.48499437,54.50556741,-655882.66010000
1718496000000,2024-06-16 00:00:00,ETH/USDT,4h,3568.75000000,3573.79000000,3548.04000000,3555.01000000,15279.53710000,3507.77800000,3579.68980000,3580.28395000,3531.02006159,3536.83628498,52.34493847,-5.81622339,-21.82608805,16.00986465,3592.92852427,3507.77800000,3422.62747573,52.45159831,-671162.19720000
1718510400000,2024-06-16 04:00:00,ETH/USDT,4h,3555.01000000,3574.54000000,3541.05000000,3561.93000000,15928.98610000,3507.86850000,3577.36200000,3583.33865000,3535.77543673,3538.69507869,53.25745667,-2.91964196,-18.04479883,15.12515687,3593.24490102,3507.86850000,3422.49209898,51.09719843,-655233.21110000
